episode,goal_x,goal_y,goal_label,reason,success,return,steps,dist_start,dist_end,dist_min,ang_end,min_range_end,min_range_min,last_reward,mean_reward,avg_loss,epsilon,buffer_size,train_steps,c_step,c_progress,c_orient,c_obstacle,c_spin,c_near,c_far,c_term_override
0,-7.0,0.0,easy,stuck,0,-196.083713509502,101,7.0,7.8325465298974555,6.310106778573076,2.066145486610936,1.792793869972229,1.1000394821166992,-50.471924791045005,-1.9414229060346733,0.0,1.0,101,0,-0.020000000000000014,-0.024729104848439272,-0.02157372059463744,0.0,-0.018316831683168326,0.0,-1.5102685954430815,-0.3465346534653465
1,-7.0,0.0,easy,collision,0,-69.92575572681352,87,7.0,4.383020358385577,4.383020358385577,0.8891203022463348,0.18000519275665283,0.18000519275665283,-80.0,-0.803744318699006,0.0,1.0,188,0,-0.020000000000000014,0.09024067729704906,0.09584826584471641,-0.03448168162641854,-0.020114942528735642,0.0,0.0,-0.9152366376856172
2,-7.0,0.0,easy,stuck,0,-36.97209151897734,113,7.0,6.589206591069301,5.743687406470125,2.223650159170475,0.5801828503608704,0.5801828503608704,-35.16111837419162,-0.3271866506104189,0.0,1.0,301,0,-0.020000000000000014,0.010906019706124754,0.009340958002040385,0.0,-0.017699115044247794,0.0,0.0,-0.30973451327433627
3,-7.0,0.0,easy,stuck,0,-34.965147262891584,127,7.0,6.1508240461605626,5.3118210723034816,2.160300136385019,0.40000084042549133,0.40000084042549133,-35.43032740970248,-0.2753161201802487,0.0,1.0,428,0,-0.020000000000000014,0.020059274500144192,0.019112626558189495,-0.0031494385614169863,-0.015748031496063,0.0,0.0,-0.2755905511811024
4,-7.0,0.0,easy,collision,0,-65.2907299612706,63,7.0,3.7874373232149727,3.7874373232149727,0.6497978445961916,0.2360130101442337,0.2360130101442337,-80.0,-1.0363607930360412,0.0,1.0,491,0,-0.02000000000000001,0.1529791750850013,0.1267605758972915,-0.016844240918992056,-0.0126984126984127,0.0,0.0,-1.2665578904009296
5,-7.0,0.0,easy,stuck,0,-37.52059162330202,103,7.0,6.8302781151814695,5.491055392731203,2.2849990457430316,1.1414451599121094,1.1200000047683716,-35.313490855919646,-0.36427758857574777,0.0,1.0,594,0,-0.020000000000000014,0.004943355868500887,0.006118861380994111,0.0,-0.01553398058252428,0.0,0.0,-0.33980582524271846
6,-7.0,0.0,easy,collision,0,-72.96293266047063,80,7.0,4.797463941071254,4.797463941071254,1.2952074972545216,0.21910414099693298,0.21910414099693298,-80.0,-0.9120366582558829,0.0,1.0,674,0,-0.02000000000000001,0.08259510220982796,0.06918664955357547,-0.036159531027078626,-0.013750000000000004,0.0,0.0,-0.9939088789922076
7,-7.0,0.0,easy,collision,0,-71.48245017860891,76,7.0,4.595788261617636,4.595788261617636,0.8728225470855255,0.18000519275665283,0.18000519275665283,-80.0,-0.9405585549816963,0.0,1.0,750,0,-0.02000000000000001,0.09490309493614596,0.08349101707989937,-0.03789412034185309,-0.013815789473684214,0.0,0.0,-1.0472427571822045
8,-7.0,0.0,easy,stuck,0,-36.685981203530794,111,7.0,6.446552942587427,5.618237431914971,1.6604058697180184,0.8400043249130249,0.8200908899307251,-35.034547751072544,-0.3305043351669441,0.0,1.0,861,0,-0.020000000000000014,0.014958028578718181,0.0056187173354187575,0.0,-0.015765765765765775,0.0,0.0,-0.3153153153153153
9,-7.0,0.0,easy,stuck,0,-33.43091047189717,146,7.0,5.851797525820228,5.121434254200587,2.0236544271864476,1.0288381576538086,0.7122822403907776,-35.217179917268595,-0.22897883884861076,0.5579250453738496,0.9996000699930003,1007,8,-0.020000000000000014,0.023593201524241898,0.02290741168194187,0.0,-0.015753424657534244,0.0,0.0,-0.23972602739726026
